scaled,problem_size,cores,time,speed_up,efficiency,serial_fraction
false,44352000,1,0.26938100000000004,1.0,1.0,0
false,44352000,2,0.237891,1.132371548314144,0.566185774157072,0.7662047434674306
false,44352000,3,0.22248466666666666,1.2107845634305887,0.4035948544768629,0.7388661412646027
false,44352000,4,0.178418,1.5098308466634536,0.3774577116658634,0.5497678009956157
false,44352000,5,0.1458,1.8476063100137174,0.3695212620027435,0.4265510559393572
false,44352000,6,0.14449166666666668,1.8643358901897458,0.3107226483649576,0.44366083725281297
false,44352000,7,0.13651366666666667,1.9732896095873187,0.28189851565533125,0.4245626495970803
false,44352000,8,0.12550433333333333,2.1463880397224004,0.26829850496530006,0.38959883514250737
false,44352000,9,0.12146900000000001,2.2176934032551516,0.2464103781394613,0.3822838284808506
false,44352000,10,0.12026633333333332,2.2398703987538773,0.22398703987538773,0.3849493358367405
false,44352000,11,0.11231200000000001,2.398505947717074,0.2180459952470067,0.35861883354802304
false,44352000,12,0.11411466666666666,2.3606168064870428,0.19671806720725357,0.3712197425005678
false,88704000,1,0.5389623333333333,1.0,1.0,0
false,88704000,2,0.431559,1.2488728848971595,0.6244364424485798,0.6014440093834637
false,88704000,3,0.342613,1.5730936459893037,0.5243645486631012,0.4535350955261561
false,88704000,4,0.28937166666666664,1.862526278200469,0.46563156955011725,0.38254023523804276
false,88704000,5,0.272383,1.9786929923428898,0.39573859846857795,0.3817301394593437
false,88704000,6,0.260658,2.067699181814229,0.34461653030237155,0.3803552134441059
false,88704000,7,0.23029866666666665,2.3402755262731296,0.33432507518187565,0.3318501334148067
false,88704000,8,0.20510966666666666,2.627678851476202,0.32845985643452524,0.2920731539769234
false,88704000,9,0.23316766666666666,2.3114797220312138,0.2568310802256904,0.36170121968944025
false,88704000,10,0.19360600000000003,2.783810074756636,0.2783810074756636,0.2880221204216635
false,88704000,11,0.20808400000000002,2.590119054484407,0.23546536858949152,0.3246909029511649
false,88704000,12,0.20201066666666667,2.6679894791034138,0.22233245659195114,0.31797898734363683
false,177408000,1,1.082463,1.0,1.0,0
false,177408000,2,0.808786,1.3383799917407075,0.6691899958703538,0.4943439175288209
false,177408000,3,0.611069,1.7714251582063565,0.5904750527354522,0.3467758251321291
false,177408000,4,0.513252,2.1090283135769563,0.5272570783942391,0.2988693377972273
false,177408000,5,0.44382933333333335,2.438917211420606,0.4877834422841212,0.2625225219399339
false,177408000,6,0.4250496666666666,2.5466741533734494,0.4244456922289082,0.2712028032366925
false,177408000,7,0.405704,2.668110247865439,0.38115860683791986,0.27059662393387424
false,177408000,8,0.3850346666666667,2.811339065573316,0.3514173831966645,0.26365986423466453
false,177408000,9,0.367017,2.9493538446447984,0.3277059827383109,0.2564394810723323
false,177408000,10,0.3561856666666667,3.039041436254687,0.3039041436254687,0.2545012487125982
false,177408000,11,0.37121899999999997,2.91596874082415,0.26508806734765,0.27723312482736123
false,177408000,12,0.32386133333333333,3.342365662670443,0.2785304718892036,0.23547922234251473
false,266112000,1,1.627415,1.0,1.0,0
false,266112000,2,1.175937,1.3839304316472736,0.6919652158236368,0.44515934780003885
false,266112000,3,0.922736,1.7636843040696364,0.5878947680232122,0.3504923452223312
false,266112000,4,0.7292333333333333,2.231679389312977,0.5579198473282443,0.26412405222051194
false,266112000,5,0.6491033333333334,2.507173999003754,0.5014347998007508,0.24856930571898792
