scaled,problem_size,cores,time,speed_up,efficiency,serial_fraction
false,1064448000,12,1.8858653333333333,3.505300661270264,0.2921083884391887,0.22030789055057176
false,1419264000,1,8.984662333333333,1.0,1.0,0
false,1419264000,2,6.257888333333334,1.4357338857383466,0.7178669428691733,0.3930158087558626
false,1419264000,3,4.650457333333333,1.931995433854104,0.643998477951368,0.27639935049312
false,1419264000,4,3.8580540000000005,2.3288067853206127,0.5822016963301532,0.2392059351615281
false,1419264000,5,3.4020763333333335,2.64093496236465,0.52818699247293,0.22331722204956175
false,1419264000,6,3.2664829999999996,2.750561485650877,0.4584269142751462,0.23627455930731134
false,1419264000,7,3.0512073333333336,2.944625307883589,0.42066075826908417,0.22953541158864557
false,1419264000,8,2.959528333333333,3.0358426483499343,0.3794803310437418,0.2335975273077676
false,1419264000,9,2.746736666666667,3.2710315635159777,0.3634479515017753,0.21892820067769575
false,1419264000,10,2.7828063333333333,3.2286337089693267,0.3228633708969327,0.2330317094338091
false,1419264000,11,2.716966333333333,3.3068728983146523,0.30062480893769566,0.23264054405012516
false,1419264000,12,2.6442856666666668,3.397765395241588,0.28314711627013234,0.23015754083566056
false,1774080000,1,11.599937666666667,1.0,1.0,0
false,1774080000,2,7.7990813333333335,1.4873466721123223,0.7436733360561611,0.344676421106056
false,1774080000,3,5.828877666666667,1.9900808234495457,0.6633602744831819,0.2537382312945188
false,1774080000,4,4.836135,2.3985967444388274,0.5996491861097069,0.22254723993296546
false,1774080000,5,4.245769333333334,2.732116786372756,0.5464233572745512,0.2075207056428723
false,1774080000,6,4.106619000000001,2.824692932718293,0.47078215545304886,0.22482493799607495
false,1774080000,7,3.8738793333333335,2.994398293941009,0.4277711848487156,0.22294972772794303
false,1774080000,8,3.6537086666666667,3.174839245530067,0.39685490569125836,0.21711608869031235
false,1774080000,9,3.5437163333333337,3.273382115141082,0.36370912390456467,0.21868123256869232
false,1774080000,10,3.4894736666666666,3.3242657130430655,0.33242657130430653,0.22313145763168324
false,1774080000,11,3.4905523333333335,3.323238433038821,0.302112584821711,0.2310024309613388
false,1774080000,12,3.5828873333333338,3.2375948745992753,0.26979957288327294,0.24604137175313934
