1 0.223488 0.392834 0.575356 0.736706 0.907411 1.098324 1.260675 1.427074 1.612088 1.774383 1.945946
2 0.230040 0.400349 0.585580 0.753925 0.933772 1.099097 1.282329 1.458411 1.637282 1.799643 1.973844
3 0.227653 0.407910 0.572923 0.748264 0.924472 1.108626 1.272527 1.441429 1.615519 1.803897 1.978137
4 0.230229 0.407875 0.572463 0.767297 0.924867 1.107221 1.274302 1.627230 1.799348 1.985773
5 0.236942 0.414452 0.598518 0.772653 0.955489 1.131960 1.311370 2.339910 1.667754 1.850368 2.032148
6 0.235783 0.415445 0.603959 0.771298 0.967194 1.154204 1.322572 1.507663 1.682402 1.878123 2.805068
7 0.232180 0.504098 0.742430 0.778208 0.962171 1.142757 1.322701 1.504274 1.678508 1.870991 2.062728
8 0.236453 0.417026 0.610301 0.779894 0.966328 1.150958 1.329101 1.512975 1.688998 1.898566 2.069892
9 0.236452 0.415513 0.601724 0.791768 0.959280 1.202226 1.326466 1.530493 1.691513 1.872729 2.063198
10 0.315504 0.422901 0.595932 0.775182 0.965271 1.144278 1.323010 1.499551 1.687896 1.868443 2.076630
11 0.246543 0.412103 0.602067 0.785190 0.962541 1.568072 1.336736 1.516297 1.688912 1.862709 2.055273
12 0.261523 0.418522 0.812298 0.776256 0.990043 1.207782 1.798883 1.495337 1.700841 1.856797 2.039658
