processors,problem_size,scalable,time,speed_up,efficiency,serial_fraction
9,45460800,false,0.214663,8.24308334459129,0.9158981493990321,0.011478057174827715
5,5544000,true,0.236942,4.71609085767825,0.9432181715356499,0.015050025057273785
8,49896000,false,0.263804,7.377173962487302,0.9221467453109128,0.012060871638453343
11,23284800,false,0.091305,10.106204479491813,0.918745861771983,0.008844027669556227
3,9979200,false,0.141404,2.7919860824304825,0.9306620274768275,0.03725196176272432
9,27720000,true,1.202226,8.222177860069571,0.9135753177855079,0.011825062549848674
9,18849600,false,0.093967,7.884321091446998,0.8760356768274442,0.017688252666474082
1,45460800,true,1.774383,1.0,1.0,0
11,9979200,false,0.048592,8.12475304576885,0.7386139132517137,0.035388730439363934
4,27720000,false,0.280617,3.853793604806551,0.9634484012016378,0.012646101494303933
2,32155200,true,1.282329,1.9662270758908205,0.9831135379454102,0.017176512582545156
9,5544000,true,0.236452,8.50655524165581,0.9451728046284233,0.007250948596792697
10,36590400,true,1.499551,9.516675324813894,0.9516675324813895,0.005643015008331728
4,41025600,true,1.627230,3.9627784640155355,0.9906946160038839,0.0031309291635031045
2,49896000,true,1.973844,1.9717323152184265,0.9858661576092133,0.014336471823986896
9,49896000,true,2.063198,8.488528003613807,0.9431697781793118,0.007531812290783016
12,32155200,false,0.122923,10.2225539565419,0.8518794963784916,0.01580681350645548
3,45460800,false,0.607523,2.9126222381704063,0.9708740793901355,0.014999844587549603
11,27720000,true,1.568072,7.704725293226333,0.7004295721114848,0.04276952884576861
8,27720000,false,0.153769,7.032886992826903,0.8791108741033629,0.019644706528860998
12,23284800,false,0.084504,10.919565937707091,0.9099638281422576,0.008994980107321849
11,9979200,true,0.412103,10.485664991519112,0.9532422719562829,0.0049051253201097475
9,41025600,true,1.691513,8.577404962302978,0.953044995811442,0.00615855027765236
4,36590400,false,0.369642,3.9873986181223993,0.9968496545305998,0.0010534338369823832
3,49896000,true,1.978137,2.951179822226671,0.9837266074088903,0.008271298381352819
8,32155200,true,1.329101,7.5881366427382115,0.9485170803422764,0.0077538960137568036
1,5544000,false,0.225246,1.0,1.0,0
1,49896000,true,1.945946,1.0,1.0,0
10,18849600,false,0.082475,8.98291603516217,0.898291603516217,0.012580472642076231
7,27720000,false,0.169755,6.37059291331625,0.9100847019023215,0.01646647063175025
7,5544000,true,0.232180,6.737944698079076,0.9625635282970109,0.006482078083237886
2,9979200,false,0.204736,1.9283272116286339,0.9641636058143169,0.0371683747131446
8,18849600,false,0.102554,7.224155079275309,0.9030193849094136,0.015342277049522337
10,49896000,true,2.076630,9.370691938380933,0.9370691938380933,0.007461894854453557
6,5544000,false,0.046443,4.849945093986177,0.8083241823310295,0.04742548147358887
4,14414400,false,0.149130,3.868778917722792,0.967194729430698,0.011305986123604969
7,36590400,true,1.504274,6.640756936568738,0.9486795623669625,0.009016117360884344
12,49896000,false,0.176307,11.038291162574374,0.9198575968811978,0.00792043576690835
3,18849600,false,0.259511,2.854853936827341,0.9516179789424469,0.02542092632135903
2,36590400,false,0.732366,2.0125319853734336,1.0062659926867168,-0.00622697450997689
12,41025600,true,1.700841,11.373818011207396,0.9478181676006163,0.005004971530992452
7,45460800,true,1.870991,6.638557320692617,0.9483653315275167,0.009074327996454754
6,23284800,true,0.967194,5.629135416472806,0.938189236078801,0.013176609055874387
12,27720000,false,0.102200,10.581604696673189,0.8818003913894324,0.012185772505346415
8,14414400,true,0.610301,7.541930948826891,0.9427413686033613,0.00867661562083796
11,49896000,false,0.195288,9.965425422965058,0.9059477657240962,0.010381639851027252
5,36590400,true,2.339910,3.0494207042151187,0.6098841408430238,0.1599139217728023
9,27720000,false,0.131748,8.208397850441752,0.9120442056046392,0.012054760319573907
3,45460800,true,1.803897,2.950916266283496,0.983638755427832,0.0083166937465024
2,49896000,false,0.987849,1.9700662753113078,0.9850331376556539,0.015194272935798558
9,14414400,false,0.075037,7.688886815837519,0.8543207573152799,0.021315068350691857
1,5544000,true,0.223488,1.0,1.0,0
9,9979200,false,0.054287,7.2724224952566905,0.80804694391741,0.02969398274560663
2,18849600,true,0.753925,1.954321716351096,0.977160858175548,0.023372960176786917
6,14414400,true,0.603959,5.7158449497399655,0.9526408249566609,0.00994271372854375
3,23284800,false,0.315066,2.92874191439254,0.9762473047975133,0.012165306416601766
10,9979200,true,0.422901,9.28902982021797,0.9289029820217969,0.008504298960318565
12,23284800,true,0.990043,10.998443501948904,0.916536958495742,0.008278497836151448
3,14414400,false,0.194558,2.9654447516935822,0.9884815838978608,0.00582631800620853
9,36590400,true,1.530493,8.391848900975045,0.932427655663894,0.009058657785090341
11,5544000,false,0.029520,7.630284552845528,0.6936622320768662,0.04416238246184173
7,9979200,true,0.504098,5.454967089732551,0.7792810128189359,0.04720568993518895
9,9979200,true,0.415513,8.508773492044774,0.9454192768938638,0.007216470570266318
12,41025600,false,0.146839,10.927362621646838,0.9106135518039031,0.008923698454742113
5,41025600,true,1.667754,4.8331108784628904,0.9666221756925781,0.008632593257936298
2,23284800,false,0.464741,1.9855080571759323,0.9927540285879661,0.007298858733759239
11,41025600,true,1.688912,10.499640004926249,0.954512727720568,0.004765496672638213
10,14414400,true,0.595932,9.654725706959853,0.9654725706959854,0.003973578483968583
7,18849600,false,0.116351,6.367508659143454,0.9096440941633507,0.0165551755198196
6,14414400,false,0.109086,5.288955502997634,0.881492583832939,0.026887898625706563
1,32155200,true,1.260675,1.0,1.0,0
1,36590400,false,1.473910,1.0,1.0,0
11,45460800,false,0.176008,10.05343507113313,0.9139486428302845,0.009415338361161582
